Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C6860;Primary Cutaneous Anaplastic Large Cell Lymphoma;Primary Anaplastic Large Cell Lymphoma of Skin ;"An anaplastic large cell lymphoma limited to the skin at the time of diagnosis.  Most patients present with solitary or localized skin lesions, which may be tumors, nodules or papules.  The t(2;5) translocation that is present in many cases of systemic anaplastic large cell lymphoma, is not found in this disease. (WHO, 2001)";Malignant;
C6858;Primary Cutaneous B-Cell Non-Hodgkin Lymphoma;Primary B-Cell Non-Hodgkin Lymphoma of Skin ;A B-cell non-Hodgkin lymphoma that arises from the skin. Representative examples include primary cutaneous follicle center lymphoma, primary cutaneous intravascular large B-cell lymphoma, and primary cutaneous diffuse large B-cell lymphoma, leg type.;Malignant;
C45366;Primary Cutaneous CD4-Positive Small/Medium T-Cell Lymphoproliferative Disorder;Primary Cutaneous CD4-Positive Small or Medium T-Cell Lymphoproliferative Disorder ;A primary cutaneous T-cell lymphoproliferative disorder composed of small to medium-sized CD4-positive, CD8-negative, and CD30-negative pleomorphic T-lymphocytes in the dermis. A small number of large pleomorphic T-lymphocytes, focal epidermotropism, and subcutaneous involvement may be seen. It usually presents with a solitary plaque or tumor on the face, neck, or upper trunk. The clinical behavior is almost always indolent, and most patients present with localized disease.;Uncertain Malignant Potential;
C45339;Primary Cutaneous CD8-Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma;Primary Cutaneous Aggressive Epidermotropic CD8-Positive T-Cell Lymphoma ;An aggressive, epidermotropic primary cutaneous T-cell lymphoma composed of small to medium-sized, or medium-sized to large, CD8-positive T-lymphocytes with pleomorphic or blastic nuclei. Epidermotropism is often pronounced, and angiocentricity and angioinvasion may be present. It manifests with localized or disseminated eruptive papules and nodules or tumors.;Malignant;
C45193;Primary Cutaneous Diffuse Large B-Cell Lymphoma;;A diffuse large B-cell lymphoma that arises from the skin. Representative examples include primary cutaneous intravascular large B-cell lymphoma, primary cutaneous T-cell/histiocyte-rich large B-cell lymphoma, and primary cutaneous diffuse large B-cell lymphoma, leg type.;Malignant;
C45194;Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type;Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg-Type;An aggressive primary cutaneous B-cell lymphoma, usually involving the lower leg.  It is composed of a generally monotonous proliferation of immunoblasts, or less frequently centroblasts, with few admixed reactive cells.  This type of lymphoma occurs most often in elderly women who present with rapidly growing tumors, usually on one or both legs.  Dissemination to extracutaneous sites is frequent.  Treatment with combination chemotherapy is usually required.;Malignant;
C7217;Primary Cutaneous Follicle Center Lymphoma;Crosti's Disease ;A primary lymphoma of the skin composed of various numbers of small and large irregular neoplastic follicle center cells.  Its morphologic pattern can be nodular, diffuse, or nodular and diffuse.  It presents with solitary or grouped plaques and tumors, and it usually involves the scalp, forehead, or trunk.  It rarely involves the legs.  This type of cutaneous lymphoma tends to remain localized to the skin.;Malignant;
C45340;Primary Cutaneous Gamma-Delta T-Cell Lymphoma;Cutaneous Gamma/Delta T-Cell Lymphoma ;An aggressive cutaneous lymphoma of mature, activated gamma/delta T-lymphocytes.  It usually presents with disseminated plaques and nodules.  Involvement of mucosal sites is frequent.  However, involvement of lymph nodes, spleen, or bone marrow is uncommon.  Morphologically, there are three patterns of cutaneous involvement: epidermotropic, dermal, and subcutaneous.  Often, more than one pattern may co-exist in a single biopsy specimen, or may be present in different biopsy specimens from the same patient.  The lymphocytic infiltrate is composed of medium- to large-sized lymphocytes expressing CD56.  Most cases lack both CD4 and CD8, although CD8 may be present in some cases.  This group of lymphomas includes cases previously known as subcutaneous panniculitis-like T-cell lymphoma with a gamma/delta phenotype.;Malignant;
C7230;Primary Cutaneous Marginal Zone Lymphoproliferative Disorder;Marginal Zone B Cell Lymphoma of Skin ;A B-cell lymphoproliferative disorder that arises from the skin. It was previously known as primary cutaneous marginal zone lymphoma of mucosa-associated lymphoid tissue. Two subtypes are recognized: heavy chain class-switched primary cutaneous marginal zone lymphoproliferative disorder and IgM-positive primary cutaneous marginal zone lymphoproliferative disorder. The majority of cases are class-switched and predominantly IgG-positive.;Undetermined;
C3467;Primary Cutaneous T-Cell Non-Hodgkin Lymphoma;Cutaneous T Cell Lymphoma ;A T-cell non-Hodgkin lymphoma arising from the skin. Representative examples include mycosis fungoides and primary cutaneous anaplastic large cell lymphoma.;Malignant;
C6915;Primary Effusion Lymphoma;;A large B-cell lymphoma usually presenting as a serous effusion without detectable tumor masses. It is universally associated with human herpes virus 8 (HHV8), also called Kaposi sarcoma-associated herpesvirus.  It mostly occurs in the setting of immunodeficiency. The most common sites of involvement are the pleural, pericardial, and peritoneal cavities. Rare HHV8-positive lymphomas indistinguishable from primary effusion lymphomas (PEL) present as solid tumor masses, and have been termed extracavitary PEL. The prognosis is extremely unfavorable. (WHO 2017);Malignant;
C9280;Primary Mediastinal Large B-Cell Lymphoma;B-Cell Diffuse Large Cell Lymphoma of Mediastinum ;A large B-cell non-Hodgkin lymphoma arising in the mediastinum.  Morphologically it is characterized by a massive diffuse lymphocytic proliferation associated with compartmentalizing fibrosis.  Response to intensive chemotherapy, with or without radiotherapy, is usually good. (WHO, 2001);Malignant;
C2862;Primary Myelofibrosis;Agnogenic Myeloid Metaplasia ;A chronic myeloproliferative neoplasm characterized by bone marrow fibrosis, proliferation of atypical megakaryocytes and granulocytes in the bone marrow, anemia, splenomegaly, and extramedullary hematopoiesis. (WHO, 2001);Malignant;
C40022;Primary Peritoneal Carcinoma;;A rare carcinoma that arises from the peritoneum and resembles the malignant surface epithelial-stromal tumors that arise from the ovary.  Serous adenocarcinoma is the most common histologic variant. It affects women almost exclusively.  The diagnosis of primary peritoneal carcinoma can be made only if both ovaries are not involved by tumor, or, if the ovaries are involved, the tumor is confined to the ovarian surface without invasion of the ovarian stroma and the peritoneal involvement is greater than the ovarian surface involvement.;Malignant;
C40023;Primary Peritoneal Serous Adenocarcinoma;;A rare, serous adenocarcinoma that arises from the lining of the peritoneum. It affects females. The clinical behavior and pathologic characteristics are similar to the serous adenocarcinoma that arises from the ovary.;Malignant;
C7695;Primary Peritoneal Serous Papillary Adenocarcinoma;Primary Peritoneal Serous Papillary Carcinoma ;A rare serous papillary adenocarcinoma that arises from the lining of the peritoneum. It affects females.;Malignant;
C39898;Primary Prostate Urothelial Carcinoma;Prostate Transitional Cell Carcinoma ;An urothelial carcinoma that arises from the urothelial lining of the prostatic ducts or the prostatic urethra.;Malignant;
C3181;Prolymphocytic Leukemia;;A mature B- or T- cell leukemia with progressive clinical course. It is characterized by the presence of medium-sized lymphocytes with visible nucleoli (prolymphocytes) in the peripheral blood, bone marrow, and spleen.;Malignant;
C111692;Proneural Glioblastoma;;A molecular subtype of glioblastoma that is associated with younger age at presentation and is characterized by p53 mutations and PDGFRa amplifications.;Malignant;
C5596;Prostate Acinar Adenocarcinoma;Acinar Adenocarcinoma of Prostate ;An invasive adenocarcinoma of the prostate gland composed of secretory cells.  It is the most common histologic type of prostate adenocarcinoma.  Several morphologic variants exist, including atrophic, pseudohyperplastic, foamy gland, and oncocytic variants.;Malignant;
C2919;Prostate Adenocarcinoma;Adenocarcinoma of Prostate ;An adenocarcinoma arising from the prostate gland.  It is one of the most common malignant tumors afflicting men.  The majority of adenocarcinomas arise in the peripheral zone and a minority occurs in the central or the transitional zone of the prostate gland.  Grading of prostatic adenocarcinoma predicts disease progression and correlates with survival.  Several grading systems have been proposed, of which the Gleason system is the most commonly used.  Gleason sums of 2 to 4 represent well-differentiated disease, 5 to 7 moderately differentiated disease and 8 to 10 poorly differentiated disease.  Prostatic-specific antigen (PSA) serum test is widely used as a screening test for the early detection of prostatic adenocarcinoma.  Treatment options include radical prostatectomy, radiation therapy, androgen ablation and cryotherapy.  Watchful waiting or surveillance alone is an option for older patients with low-grade or low-stage disease.;Malignant;
C5539;Prostate Adenoid Cystic Carcinoma;Adenoid Cystic Carcinoma of Prostate ;An adenoid cystic carcinoma that arises from the prostate gland.;Malignant;
C5538;Prostate Adenosquamous Carcinoma;Adenosquamous Carcinoma of Prostate ;An infrequent invasive carcinoma of the prostate gland characterized by the presence of both glandular and squamous neoplastic components.  It is more often located in the transitional zone of the prostate gland and it tends to rapidly metastasize to the bones.;Malignant;
C39902;Prostate Basal Cell Carcinoma;Basal Cell Carcinoma of the Prostate;An invasive prostate carcinoma composed of prostatic basal cells.;Malignant;
C4863;Prostate Carcinoma;Cancer of Prostate ;One of the most common malignant tumors afflicting men.  The majority of carcinomas arise in the peripheral zone and a minority occur in the central or the transitional zone of the prostate gland.  Grossly, prostatic carcinomas appear as ill-defined yellow areas of discoloration in the prostate gland lobes.  Adenocarcinomas represent the overwhelming majority of prostatic carcinomas.  Prostatic-specific antigen (PSA) serum test is widely used as a screening test for the early detection of prostatic carcinoma.  Treatment options include radical prostatectomy, radiation therapy, androgen ablation and cryotherapy.  Watchful waiting or surveillance alone is an option for older patients with low-grade or low-stage disease.;Malignant;
C6813;Prostate Ductal Adenocarcinoma;Ductal Adenocarcinoma of Prostate ;A usually aggressive invasive adenocarcinoma of the prostate gland composed of large glands containing tall columnar cells.  The columnar cells have abundant cytoplasm and are reminiscent of endometrial carcinoma.  This type of adenocarcinoma has a tendency to metastasize to the lung and penis.;Malignant;
C27906;Prostate Moderately Differentiated Adenocarcinoma;Moderately Differentiated Prostate Adenocarcinoma;An invasive prostate adenocarcinoma characterized by the presence of malignant cells exhibiting moderate differentiation.;Malignant;
C7574;Prostate Phyllodes Tumor;Cystosarcoma Phyllodes of Prostate ;An unusual, biphasic benign or malignant neoplasm that arises from the prostate gland.  It is characterized by the presence of an epithelial glandular component and a proliferating stroma.;Undetermined;
C27916;Prostate Poorly Differentiated Adenocarcinoma;Poorly Differentiated Prostate Adenocarcinoma;An invasive prostate adenocarcinoma characterized by the presence of poorly differentiated malignant cells.;Malignant;
C6766;Prostate Small Cell Neuroendocrine Carcinoma;Prostate Small Cell Carcinoma ;A rare small cell neuroendocrine carcinoma that arises from the prostate gland.;Malignant;
C5536;Prostate Squamous Cell Carcinoma;Squamous Cell Carcinoma of Prostate ;An invasive prostate carcinoma characterized by the presence of malignant cells with squamous differentiation. There is no evidence of glandular differentiation.;Malignant;
C5524;Prostate Stromal Sarcoma;Stromal Sarcoma of Prostate ;A rare malignant neoplasm arising from specialized prostatic stroma.  It is characterized by the presence of stromal overgrowth and hypercellularity, increased number of mitotic figures, and pleomorphism.;Malignant;
C39905;Prostate Stromal Tumor of Uncertain Malignant Potential;Prostate Stromal Proliferation of Uncertain Malignant Potential ;A neoplastic lesion that arises from the prostate gland stroma.  Morphologic characteristics include hypercellular stroma with scattered atypical cells, prominent overgrowth of the prostatic stroma, or changes resembling benign phyllodes tumor.  The majority of cases do not have an aggressive clinical course.  A minority of cases however, may progress to stromal sarcoma.;Uncertain Malignant Potential;
C5597;Prostate Undifferentiated Carcinoma;Undifferentiated Carcinoma of Prostate ;An invasive prostate carcinoma characterized by the presence of undifferentiated malignant cells.;Malignant;
C27905;Prostate Well Differentiated Adenocarcinoma;Well Differentiated Prostate Adenocarcinoma;An invasive prostate adenocarcinoma characterized by the presence of well differentiated malignant glandular epithelial components.;Malignant;
C4320;Protoplasmic Astrocytoma;;A rare variant of diffuse astrocytoma. It is predominantly composed of neoplastic astrocytes showing a small cell body with few, flaccid processes with a low content of glial filaments and scant GFAP expression. This lesion is not well defined and is considered by some authors as an occasional histopathological feature rather than a reproducibly identifiable variant. When occurring in children, this neoplasm may be difficult to separate from pilocytic juvenile astrocytoma. (Adapted from WHO);Undetermined;
C115334;Proximal Urethral Carcinoma;;A carcinoma that arises from the proximal part of the urethra.;Malignant;
C4331;Psammomatous Meningioma;;A WHO grade I meningioma characterized by the presence of psammoma bodies that predominate over the meningeal cells.;Undetermined;
C121668;Pseudomyogenic Hemangioendothelioma;Pseudomyogenic (Epithelioid Sarcoma-Like) Hemangioendothelioma;An intermediate, rarely metastasizing blood vessel neoplasm that more frequently affects young adult males and usually arises in the lower limbs.  In approximately half of the affected patients the tumor is painful and in two-thirds of the patients the tumor is multifocal.  Morphologically it is characterized by the presence of sheets and fascicles of spindle cells with abundant eosinophilic cytoplasm and vesicular nuclei.  Cytologic atypia is usually mild.  Approximately 60% of the patients develop local recurrences or additional tumors in the same anatomic region.;Undetermined;
C5381;Pulmonary Artery Choriocarcinoma;Choriocarcinoma of Pulmonary Artery ;A rare choriocarcinoma that arises from a pulmonary artery.;Malignant;
C3732;Pulmonary Blastoma;Blastoma of Lung ;A biphasic tumor that consists of fetal adenocarcinoma (typically low-grade) and primitive mesenchymal stroma. Foci of specific mesenchymal differentiation (osteosarcoma, chondrosarcoma, or rhabdomyosarcoma) may also be present, but are not required for the diagnosis. Most patients are smokers.  The prognosis is very poor. (WHO 2015);Malignant;
C27513;Radiation-Related Angiosarcoma;Radiation-Induced Angiosarcoma;A malignant vascular neoplasm arising in an anatomic site exposed to radiation therapy.;Malignant;
C53706;Radiation-Related Osteosarcoma;Postradiation Osteosarcoma ;A high grade osteosarcoma arising in an irradiated bone.;Malignant;
C9383;Rectal Adenocarcinoma;Adenocarcinoma of Rectum ;An adenocarcinoma arising from the rectum.  It is more frequently seen in populations with a Western type diet and in patients with a history of chronic inflammatory bowel disease.  Signs and symptoms include intestinal bleeding, anemia, and change in bowel habits.  According to the degree of cellular differentiation, rectal adenocarcinomas are divided into well, moderately, and poorly differentiated.  Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma.;Malignant;
C5546;Rectal Adenoma;Adenoma of Rectum ;An adenoma that arises from the rectum.  The group of rectal adenomas includes tubular, villous, and tubulovillous adenomas, traditional serrated adenomas, sessile serrated adenomas/polyps, and familial adenomatous polyposis.;Undetermined;
C5621;Rectal Adenoma with Severe Dysplasia;Adenoma of Rectum with Marked Dysplasia ;An adenoma that arises from the rectum.  It is characterized by the presence of severe epithelial dysplasia.;Undetermined;
C96480;Rectal Adenomatous Polyp;Adenomatous Polyp of Rectum ;A polypoid adenoma that arises from and protrudes into the lumen of the rectum.  Epithelial dysplasia is always present.  According to the architectural pattern it is classified as tubular, tubulovillous, or villous.;Undetermined;
C43594;Rectal Adenosquamous Carcinoma;;An unusual rectal carcinoma characterized by the presence of glandular and squamous carcinomatous components.  The two carcinomatous components may be admixed within the tumor, or the two may appear separately in different areas.;Malignant;
C9382;Rectal Carcinoma;Cancer of Rectum ;A malignant epithelial neoplasm that arises from the rectum. The vast majority are adenocarcinomas.;Malignant;
C60640;Rectal Medullary Carcinoma;;A rare, invasive rectal adenocarcinoma characterized by the presence of sheets of malignant epithelial cells with vesicular nuclei, prominent nucleoli, and abundant eosinophilic cytoplasm.  It usually has a favorable prognosis.;Malignant;
C9450;Rectal Moderately Differentiated Adenocarcinoma;Grade 2 Rectal Adenocarcinoma ;A rectal adenocarcinoma characterized by the presence of a malignant cellular infiltrate with 50-95% glandular formation.;Malignant;
C7973;Rectal Mucinous Adenocarcinoma;Colloid Adenocarcinoma of Rectum ;An invasive adenocarcinoma of the rectum characterized by the presence of pools of extracellular mucin.  Malignant glandular epithelial cells are present in the mucin collections.  Mucin constitutes more than 50% of the lesion.;Malignant;
C9449;Rectal Poorly Differentiated Adenocarcinoma;Grade 3 Rectal Adenocarcinoma ;A rectal adenocarcinoma characterized by the presence of a malignant cellular infiltrate with less than 50% glandular formation.;Malignant;
C96487;Rectal Serrated Adenocarcinoma;;A rare, invasive rectal adenocarcinoma characterized by the presence of a malignant infiltrate with serrated glandular architecture.;Malignant;
C96465;Rectal Serrated Lesions and Polyps;Rectal SSA ;Polyps that arises from the rectum. They are characterized by the presence of serrated glands and the absence of generalized dysplasia.;Benign;
C9168;Rectal Signet Ring Cell Adenocarcinoma;Rectal Signet-Ring Cell Adenocarcinoma ;An infiltrating adenocarcinoma arising from the rectum.  It is characterized by the presence of malignant glandular cells with prominent intracytoplasmic mucin.  These cells constitute more than 50% of the malignant cellular population.;Malignant;
C60639;Rectal Small Cell Neuroendocrine Carcinoma;Rectal Small Cell Carcinoma;An aggressive high-grade carcinoma with neuroendocrine differentiation that arises from the rectum and is composed of malignant small cells. The mitotic count is more than 20 per 2 mm2 and/or the Ki-67 index is more than 20%.;Malignant;
C5554;Rectal Squamous Cell Carcinoma;Rectal Squamous Carcinoma ;A very rare rectal carcinoma characterized by the presence of a malignant squamous cell infiltrate.;Malignant;
C96463;Rectal Traditional Serrated Adenoma;Rectal Serrated Adenoma ;An adenoma that arises from the rectum.  It is characterized by prominent serration of the glands.;Benign;
C96477;Rectal Tubular Adenoma;;A usually polypoid neoplasm that arises from the glandular epithelium of the rectal mucosa. It is characterized by a tubular architectural pattern. The neoplastic glandular cells have dysplastic features.;Undetermined;
C5620;Rectal Tubulovillous Adenoma;Rectal Villotubular Adenoma ;A neoplasm that arises from the glandular epithelium of the rectal mucosa. It is characterized by tubular and villous architectural patterns. The neoplastic glandular cells have dysplastic features.;Undetermined;
C7974;Rectal Undifferentiated Carcinoma;Anaplastic Carcinoma of Rectum ;An invasive malignant epithelial tumor that arises from the rectum.  There is no morphologic, immunophenotypic, or molecular biological evidence of glandular or squamous differentiation.;Malignant;
C4919;Rectal Villous Adenoma;Villous Adenoma of Rectum ;A neoplasm that arises from the glandular epithelium of the rectal mucosa. It is characterized by a villous architectural pattern. The neoplastic glandular cells have dysplastic features.;Undetermined;
C9451;Rectal Well Differentiated Adenocarcinoma;Grade 1 Rectal Adenocarcinoma ;A rectal adenocarcinoma characterized by the presence of a malignant cellular infiltrate with more than 95% glandular formation.;Malignant;
C43584;Rectosigmoid Adenocarcinoma;;An adenocarcinoma arising from the rectosigmoid area.  It is more frequently seen in populations with a Western type diet and in patients with a history of chronic inflammatory bowel disease.  Signs and symptoms include intestinal bleeding, anemia, and change in bowel habits.  According to the degree of cellular differentiation, rectosigmoid adenocarcinomas are divided into well, moderately, and poorly differentiated.  Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma.;Malignant;
C7421;Rectosigmoid Carcinoma;Rectosigmoid Cancer;A malignant epithelial neoplasm that arises from the rectosigmoid area and invades through the muscularis mucosa into the submucosa.  The vast majority are adenocarcinomas.  About 50% of colorectal carcinomas occur in the rectosigmoid area.;Malignant;
C43592;Rectosigmoid Mucinous Adenocarcinoma;;An invasive adenocarcinoma of the rectosigmoid area characterized by the presence of pools of extracellular mucin.  Malignant glandular epithelial cells are present in the mucin collections.  Mucin constitutes more than 50% of the lesion.;Malignant;
C43593;Rectosigmoid Signet Ring Cell Adenocarcinoma;Rectosigmoid Signet Ring Cell Carcinoma ;An infiltrating adenocarcinoma arising from the rectosigmoid area.  It is characterized by the presence of malignant glandular cells with prominent intracytoplasmic mucin.  These cells constitute more than 50% of the malignant cellular population.;Malignant;
C2872;Refractory Anemia;Aregenerative Anemia;A myelodysplastic syndrome characterized mainly by dysplasia of the erythroid series.  Refractory anemia is uncommon.  It is primarily a disease of older adults.  The median survival exceeds 5 years.  (WHO, 2001);Malignant;
C82596;Refractory Cytopenia of Childhood;;A myeloid disorder that occurs in childhood and is characterized by persistent cytopenia, dysplastic changes in at least two hematopoietic lineages or in 10% or more of cells in one hematopoietic lineage, less than 5% blasts in bone marrow, and less than 2% blasts in peripheral blood, absence of bone marrow fibrosis, and absence of history of prior cytotoxic chemotherapy or radiation therapy. In a subset of cases, somatic mutations or cytogenetic abnormalities can be identified. Other cases are the result of pre-existing disorders with germline mutations, including Fanconi anemia, Shwachman-Diamond syndrome, and dyskeratosis congenita.;Malignant;
C82593;Refractory Neutropenia;;A myelodysplastic syndrome characterized by the presence of at least 10% dysplastic neutrophils in the bone marrow or the peripheral blood.;Malignant;
C82594;Refractory Thrombocytopenia;;A myelodysplastic syndrome characterized by the presence of at least 10% dysplastic megakaryocytes, found within at least 30 megakaryocytes examined in the bone marrow.;Malignant;
C9385;Renal Cell Carcinoma;Adenocarcinoma of Kidney ;A carcinoma arising from the renal parenchyma.  There is a strong correlation between cigarette smoking and the development of renal cell carcinoma.  The clinical presentation includes : hematuria, flank pain and a palpable lumbar mass.  A high percentage of renal cell carcinomas are diagnosed when an ultrasound is performed for other purposes.  Radical nephrectomy is the standard intervention procedure.  Renal cell carcinoma is generally considered to be resistant to radiation treatment and chemotherapy.;Malignant;
C39802;"Renal Cell Carcinoma Associated with inv(X)(p11;q12)";;"A renal cell carcinoma with papillary architecture comprised of clear cells. It is characterized by the inv(X)(p11;q12) resulting in fusion of the NONO (p54nrb) and TFE3 genes.";Malignant;
C37874;"Renal Cell Carcinoma Associated with t(X;1)(p11.2;p34)";;"A renal cell carcinoma with papillary architecture comprised of clear cells. It is characterized by the t(X;1)(p11.2;p34) resulting in fusion of the PSF and TFE3 genes.";Malignant;
C37872;"Renal Cell Carcinoma Associated with t(X;1)(p11.2;q21)";;"A renal cell carcinoma with papillary architecture comprised of clear cells. It is characterized by the t(X;1)(p11.2;q21) resulting in fusion of the PRCC and TFE3 genes.";Malignant;
C37876;"Renal Cell Carcinoma Associated with t(X;17)(p11.2;q25)";;"A renal cell carcinoma with papillary architecture comprised of clear cells. It is characterized by the t(X;1)(p11.2;q25) resulting in fusion of the ASPL and TFE3 genes.";Malignant;
C191370;Renal Cell Carcinoma, Not Otherwise Specified;RCC-NEC ;A renal cell carcinoma that cannot be classified into one of the established subtypes of renal cell carcinoma.;Malignant;
C6142;Renal Pelvis Carcinoma;Carcinoma of Kidney Pelvis ;A carcinoma arising in the renal pelvis.  The majority of renal pelvis carcinomas are transitional cell and less frequently squamous cell carcinomas.;Malignant;
C6148;Renal Pelvis Papillary Urothelial Carcinoma;Kidney Pelvis Papillary Carcinoma ;A papillary urothelial carcinoma that arises from the renal pelvis.;Malignant;
C7355;Renal Pelvis Urothelial Carcinoma;Renal Pelvis Transitional Cell Carcinoma ;A carcinoma that arises from the urothelial lining of the renal pelvis. It is associated with tobacco use and usually presents with gross or microscopic hematuria.  Urothelial carcinomas of the renal pelvis are usually of higher grade and higher stage compared to bladder urothelial carcinomas.;Malignant;
C27511;Retiform Hemangioendothelioma;Hobnail Hemangioendothelioma;A rare, intermediate, locally aggressive and rarely metastasizing blood vessel neoplasm of the skin and subcutaneous tissue that usually affects the distal extremities, most often the leg.  It manifests as a slow-growing red/bluish nodule or plaque and is characterized by the presence of hobnail endothelial cells and formation of arborizing vascular channels.;Undetermined;
C7541;Retinoblastoma;;"A malignant tumor that originates in the nuclear layer of the retina. As the most common primary tumor of the eye in children, retinoblastoma is still relatively uncommon, accounting for only 1% of all malignant tumors in pediatric patients. Approximately 95% of cases are diagnosed before age 5. These tumors may be multifocal, bilateral, congenital, inherited, or acquired. Seventy-five percent of retinoblastomas are unilateral; 60% occur sporadically. A predisposition to retinoblastoma has been associated with 13q14 cytogenetic abnormalities. Patients with the inherited form also appear to be at increased risk for secondary nonocular malignancies such as osteosarcoma, malignant fibrous histiocytoma, and fibrosarcoma.";Malignant;
C66812;Retinocytoma;Retinoma;"A rare, unilateral or bilateral benign neoplasm that arises from the retina. There is an increased risk of malignant transformation to retinoblastoma; therefore, patients with a diagnosis of retinocytoma should be closely observed.";Benign;
C8172;Retromolar Trigone Squamous Cell Carcinoma;Squamous Cell Carcinoma of Retromolar Trigone ;A squamous cell carcinoma that arises from the retromolar trigone. Pain, often radiating to the ear, is the presenting symptom. The prognosis is poor.;Malignant;
C7352;Retroperitoneal Carcinoma;Carcinoma of Retroperitoneum ;A rare carcinoma that arises from the retroperitoneal space.;Malignant;
C6909;Rhabdoid Meningioma;;A WHO grade III meningioma characterized by the predominant presence of rhabdoid cells forming sheets.;Malignant;
C3808;Rhabdoid Tumor;;An aggressive malignant embryonal neoplasm usually occurring during childhood.  It is characterized by the presence of large cells with abundant cytoplasm, large eccentric nucleus, and a prominent nucleolus and it is associated with abnormalities of chromosome 22.  It can arise from the central nervous system, kidney, and the soft tissues.  The prognosis is poor.;Malignant;
C8715;Rhabdoid Tumor of the Kidney;Kidney Rhabdoid Tumor ;A rhabdoid tumor that arises from the kidney.  It occurs in children and it is associated with abnormalities of chromosome 22. It is characterized by the presence of cells with a large eccentric nucleus, prominent nucleolus, and abundant cytoplasm.  The prognosis is poor.;Malignant;
C3358;Rhabdomyoma;;A benign mesenchymal tumor arising from skeletal or cardiac muscle.;Benign;
C3359;Rhabdomyosarcoma;;A rare aggressive malignant mesenchymal neoplasm arising from skeletal muscle. It usually occurs in children and young adults. Only a small percentage of tumors arise in the skeletal muscle of the extremities. The majority arise in other anatomic sites.;Malignant;
C4259;Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features;Mixed Alveolar Rhabdomyosarcoma ;A rhabdomyosarcoma composed of embryonic and alveolar components. It is characterized by the presence of spindle cells with myoblastic differentiation, a myxoid stroma, and fibrous septa.  These tumors were previously considered variants of alveolar rhabdomyosarcoma.  The lack of PAX3-FOXO1 fusions in most of these tumors suggests that are biologically and clinically related to embryonal rhabdomyosarcoma.;Malignant;
C67559;Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle;;A central nervous system neoplasm arising from the fourth ventricle. It is characterized by the presence of neurocytes forming pseudorosettes and astrocytes which contain Rosenthal fibers. Cytologic atypia is minimal.;Undetermined;
C8021;Salivary Gland Adenocarcinoma;Adenocarcinoma of Salivary Gland ;An adenocarcinoma arising from the salivary gland.  It includes the salivary gland polymorphous low grade adenocarcinoma, salivary gland oncocytic carcinoma, salivary gland mucinous adenocarcinoma, salivary gland low grade cribriform cystadenocarcinoma, salivary gland cystadenocarcinoma, salivary gland basal cell adenocarcinoma, salivary gland acinic cell carcinoma, salivary duct carcinoma, and salivary gland adenocarcinoma not otherwise specified.;Malignant;
C8026;Salivary Gland Adenoid Cystic Carcinoma;Adenoid Cystic Carcinoma of Salivary Gland ;An adenoid cystic carcinoma arising from the salivary gland.  It is characterized by the presence of epithelial and myoepithelial cells forming tubular, cribriform, and solid patterns.  It usually presents as a slow growing mass.  Patients may experience pain because of the tumor propensity for perineural invasion.  The tumor may follow an aggressive clinical course with recurrences and mestastases to distant sites including lungs, bones, brain, and liver.;Malignant;
C35737;Salivary Gland Adenosquamous Carcinoma;;A rare, aggressive carcinoma that arises from the salivary glands.  It is characterized by the presence of a squamous and a glandular epithelial component.;Malignant;
C9272;Salivary Gland Carcinoma;Carcinoma of Salivary Gland ;A carcinoma that arises from the major or minor salivary glands.  Representative examples include carcinoma ex pleomorphic adenoma, adenocarcinoma, adenoid cystic carcinoma, and mucoepidermoid carcinoma.;Malignant;
C40410;Salivary Gland Carcinoma ex Pleomorphic Adenoma;;A carcinoma that arises from a pleomorphic adenoma in the salivary glands.  It usually originates in the parotid gland.  Patients usually present with a history of a long-standing tumor mass which grew rapidly in the past few months.  Patients with non-invasive or minimally invasive carcinoma have an excellent prognosis.  In cases where there is invasion of the surrounding tissues, the clinical course is aggressive.;Malignant;
C62191;Salivary Gland Clear Cell Carcinoma;;A carcinoma that arises from the salivary glands, most often the minor salivary glands.  It is characterized by the presence of a monomorphic population of malignant epithelial cells with clear cytoplasm and the absence of morphologic features that define other primary neoplasms of the salivary glands.;Malignant;
C35701;Salivary Gland Epithelial-Myoepithelial Carcinoma;Salivary Gland Epithelial Myoepithelial Carcinoma;A carcinoma that arises from the salivary glands, most often the parotid gland.  It presents as a slow growing and painless mass.  It is characterized by the presence of duct-like structures lined by two layers of cells, an inner layer composed of epithelial-type cells and an outer layer composed of clear, myoepithelial-type cells.;Malignant;
